title,price,url,img
"VAZ (LADA) Granta 1.6 MT, 2017, 139 000 km",630 000 R,https://www.avito.ru/derbent/avtomobili/vaz_lada_granta_1.6_mt_2017_139_000_km_4371188334,https://50.img.avito.st/image/1/1.NkxLP7aAmqVdnzikKx9uInKemKH5iJ6l-e_7ofk8mwf-nJ6_XZ84pP0.ZXEPxBZZkKfHav0KexNtLzOGYnRFkZcuB-v2uG0Gdsk
LADA Granta v kredit ili pod vykup,27 214 R za mesiats,https://www.avito.ru/derbent/predlozheniya_uslug/lada_granta_v_kredit_ili_pod_vykup_4263392474,https://10.img.avito.st/image/1/1.LCfIz7aAgM7ebyLPnOdTMPFugsp6eITOeh_hynrMgWx9bITU3m8iz34.2t81gbMX_1szvNe6bv18PrVIRnFe1661nHm_BBeA8Sk
Arenda avto pod vykup,1 500 R za den',https://www.avito.ru/derbent/predlozheniya_uslug/arenda_avto_pod_vykup_3954899187,https://20.img.avito.st/image/1/1.ugIFQraAFusT4rTqfWytFTzjFO-39RLrt5J377dBF0mw4RLxE-K06rM.bBlfII_pHtZo8fsDmIdWVAGKuXzwB2py5tqRqEozJ-o
Prokat avto (mkpp/akpp),1 800 R za den',https://www.avito.ru/derbent/predlozheniya_uslug/prokat_avto_mkppakpp_2381026017,https://00.img.avito.st/image/1/1.9CJzlraAWMtlNvrKF4n4Ehc0Ws_BIVzLwUY5z8GVWWnGNVzRZTb6ysU.4lvZdwMN2HeFJV7dyx6838XbOkU2ngwgafVBSD3cJ34
"VAZ (LADA) Granta 1.6 MT, 2020, 107 875 km",820 000 R,https://www.avito.ru/derbent/avtomobili/vaz_lada_granta_1.6_mt_2020_107_875_km_4042786377,https://70.img.avito.st/image/1/1.3YdI4baAcW5eQdNvfoL433FAc2r6VnVu-jEQavricMz9QnV0XkHTb_4.lZYEuxpi2WYe-y3wOum7hRRN1Tqw3XRS-oqontRBTl0
"VAZ (LADA) Granta 1.6 MT, 2019, 135 000 km",750 000 R,https://www.avito.ru/derbent/avtomobili/vaz_lada_granta_1.6_mt_2019_135_000_km_4190984169,https://90.img.avito.st/image/1/1.x7PmZLaAa1rwxMlb5BPBrcDFaV5U029aVLQKXlRnavhTx29A8MTJW1A.rXwuLMVlHD1CRIRAhMjHscujQ-lQ1k1U3ivmPmm5-lw
"VAZ (LADA) Granta 1.6 MT, 2021, 10 000 km",860 000 R,https://www.avito.ru/derbent/avtomobili/vaz_lada_granta_1.6_mt_2021_10_000_km_2596488818,https://90.img.avito.st/image/1/1.Y777hbaBz1ftJW1WsfgRiTwmy1FZIM9RPkXLUe0lbVZNINX1TobOVQ.aIM5Mwk8OrHhyvVyi1v6zEnflreMlSCQdgEVIIB0FZ8
"VAZ (LADA) Granta 1.6 MT, 2017, 150 000 km",620 000 R,https://www.avito.ru/derbent/avtomobili/vaz_lada_granta_1.6_mt_2017_150_000_km_4332514927,https://70.img.avito.st/image/1/1.JiD3JLaAisnhhCjIt1x_HJWGiM1Fk47JRfTrzUUni2tCh47T4YQoyEE.rRjYyyjkWCUFTfF2Ry8uEkj6kUpiC8rHXBj1qcUPm3E
"VAZ (LADA) Granta 1.6 MT, 2023, 14 000 km",920 000 R,https://www.avito.ru/derbent/avtomobili/vaz_lada_granta_1.6_mt_2023_14_000_km_4593564105,https://70.img.avito.st/image/1/1.X9oA_raA8zMWXlEyMpNh8zlf8TeySfczsi6SN7L98pG1XfcpFl5RMrY.zQtzKiIzapYSX9HIW4WRYqef5Gl0V_tbzs2BRyv3hno
"VAZ (LADA) Granta 1.6 MT, 2017, 72 000 km",648 000 R,https://www.avito.ru/derbent/avtomobili/vaz_lada_granta_1.6_mt_2017_72_000_km_4403415444,https://90.img.avito.st/image/1/1.lw6-5baAO-eoRZnmnKPkHZBEOeMMUj_nDDVa4wzmOkULRj_9qEWZ5gg.Ui45sXW4Dnk0W7oLOS1wBlC-Nk-Jm65ueobE6oFtYlo
"VAZ (LADA) Granta 1.6 MT, 2017, 190 000 km",530 000 R,https://www.avito.ru/derbent/avtomobili/vaz_lada_granta_1.6_mt_2017_190_000_km_4336216843,https://20.img.avito.st/image/1/1.B9d8kraAqz5qMgk_fqZIlUUzqTrOJa8-zkLKOs6RqpzJMa8kajIJP8o.esy7Zz2o7-Iw_ux7AMUzus9DlbTCAMf-rWqLHod0nMc
"VAZ (LADA) Granta 1.6 MT, 2015, 201 000 km",470 000 R,https://www.avito.ru/derbent/avtomobili/vaz_lada_granta_1.6_mt_2015_201_000_km_4126466883,https://30.img.avito.st/image/1/1.h20GY7aAK4QQw4mFBDniT2fBKYC01C-EtLNKgLRgKiazwC-eEMOJhbA._w9RbeQm8EG4STRO6fBiec38Diip2Yz6_slYbQ5sgGI
